Id,SalePrice
1461,121900.30512604117
1462,205702.53307768563
1463,165284.72812275216
1464,202064.11252310313
1465,201620.76956693712
1466,177793.88255868084
1467,192327.20626191795
1468,167432.96253403462
1469,202646.34069550293
1470,107803.77241975185
1471,210331.34431880782
1472,101510.6730241311
1473,77463.05191829661
1474,162911.87519931374
1475,106455.71794937854
1476,335786.6360680661
1477,251850.0899641374
1478,287404.56494260184
1479,281425.5933056434
1480,406425.5629903446
1481,284159.52205937007
1482,213436.43788097776
1483,178084.57821243512
1484,180346.49050331
1485,208106.94037078274
1486,211287.65123977535
1487,295711.7644032219
1488,250757.4472584899
1489,199881.71656357497
1490,235136.60822605505
1491,209798.49432718637
1492,87471.03608844383
1493,219305.26440958807
1494,276167.5593766242
1495,263150.1369716199
1496,226412.54994451697
1497,160933.54766944656
1498,162070.94805830275
1499,163391.67156360392
1500,149078.89914113143
1501,164651.66220666864
1502,152379.17226974503
1503,283590.9940319788
1504,247199.12823292823
1505,223730.03974345466
1506,191937.56707546767
1507,238501.2049238996
1508,192544.49019044987
1509,142232.0688314787
1510,145217.7553690949
1511,153494.89362755162
1512,182369.13383489707
1513,177063.1904358504
1514,160474.1466714131
1515,196443.19577848702
1516,149031.56586826663
1517,174065.559347776
1518,120621.26420908654
1519,235655.46993836062
1520,120302.16477152356
1521,108880.01103818743
1522,179031.53900919645
1523,67244.49176736013
1524,123082.15476193023
1525,95837.78102606209
1526,88306.71468009695
1527,77581.41071677371
1528,134408.56599833583
1529,111638.47331110784
1530,247223.41260045837
1531,130966.6042343711
1532,70566.50226073572
1533,162144.90708030644
1534,134333.97295555915
1535,134593.95027330844
1536,77289.64442733652
1537,36475.65813301748
1538,196637.0888891305
1539,210650.10755479313
1540,118434.6997699727
1541,129549.49256731104
1542,109911.63339040172
1543,195453.24904436665
1544,68607.32317313878
1545,114583.53887954343
1546,125029.45480946265
1547,137461.96548504522
1548,116939.37183787092
1549,105591.14339984837
1550,110899.60885541979
1551,104548.28170895949
1552,122023.55110704433
1553,140577.08857229142
1554,99544.03730216646
1555,157581.85611568438
1556,44796.163064089254
1557,86739.69552996033
1558,90418.73814986437
1559,72409.78246637655
1560,106342.4695050997
1561,96467.61609088676
1562,119744.294048985
1563,105415.64638647786
1564,139890.16792808427
1565,126190.21763695637
1566,262995.0867433653
1567,51481.92124253791
1568,234714.68860120373
1569,120711.79932604707
1570,139730.08253924898
1571,125703.23357592802
1572,121973.1269646457
1573,252716.11412912165
1574,107887.19381284027
1575,257954.2338787592
1576,263536.2333595543
1577,194031.0720615196
1578,130806.14446098264
1579,120778.7382693279
1580,195756.8372829021
1581,131746.59109657258
1582,106457.39772220771
1583,304530.75849811407
